"url","title","location","car-price-frame","details 2","details 3","details 4"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700100203130251013002/","TOYOTA MARK II
                                                    TOURER V","Hiroshima Japan","¥4,613,000","PEARL WHITE","127,161
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SOARER/700100203130211003001/","TOYOTA SOARER
                                                    2.5GT-T","Hiroshima Japan","¥4,613,000","BLACK","155,662
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700100083630250410001/","TOYOTA CHASER
                                                    TOURER V","Hiroshima Japan","¥4,613,000","GREEN","40,511
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700020720430240625001/","TOYOTA MARK II
                                                    TOURER V","Aichi Japan","¥4,613,000","PURPLE","101,151
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/945025070900204401002/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE FIRST EDITION","Aichi Japan","¥4,613,000","PEARL WHITE","27,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020880330251003001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Aichi Japan","¥4,591,000","BLACK","62,008
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700040324530250419001/","TOYOTA MARK II
                                                    TOURER V","Tochigi Japan","¥4,525,000","SILVER M","57,020
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MR2/988025091609030180001/","TOYOTA MR2
                                                    GT-S","Nagano Japan","¥4,523,900","D GREEN M","18,419
                                                                                                                km","2000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700020783030250904001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE FIRST EDITION","Aichi Japan","¥4,522,800","PEARL WHITE","963
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700052027030251114002/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE FIRST EDITION","Saitama Japan","¥4,515,100","PEARL","13,864
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700056104430220524001/","TOYOTA MARK II
                                                    2.5IR-V FORTUNA YAMAHA POWER","Chiba Japan","¥4,503,000","SILVER","72,000
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700070801730250210001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Nara Japan","¥4,415,000","PEARL WHITE","14,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/VITZ/700060025920250911001/","TOYOTA VITZ
                                                    GRMN","Shizuoka Japan","¥4,404,000","WHITE II","16,160
                                                                                                                km","1800cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700070653830250201001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Nara Japan","¥4,393,000","WHITE","19,914
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700070762230251010001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Kyoto Japan","¥4,382,000","PEARL WHITE","3,033
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700052027030251217002/","TOYOTA GR YARIS
                                                    RC","Saitama Japan","¥4,345,700","PEARL","9,115
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/MARK_II/700060229130221114002/","TOYOTA MARK II
                                                    IR-V","Shizuoka Japan","¥4,305,000","BLACK","70,636
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700902003230241218001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Yamaguchi Japan","¥4,305,000","WHITE","22,547
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700120064230251212001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Niigata Japan","¥4,283,000","BLACK","1,438
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/CHASER/700040401030251129001/","TOYOTA CHASER
                                                    TOURER V","Ibaraki Japan","¥4,283,000","GREEN M","186,304
                                                                                                                km","2500cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SUPRA/700102067530251117002/","TOYOTA SUPRA
                                                    GT TWIN TURBO","Okayama Japan","¥4,283,000","BLACK","97,000
                                                                                                                km","2000cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/SPRINTER_TRUENO/700040021430250818003/","TOYOTA SPRINTER TRUENO","Saitama Japan","¥4,283,000","BLACK/SILVER","197,000
                                                                                                                km","1600cc"
"https://www.goo-net-exchange.com/usedcars/TOYOTA/GR_YARIS/700012637930251115001/","TOYOTA GR YARIS
                                                    RZ HIGH PERFORMANCE","Kanagawa Japan","¥4,248,900","PEARL II","8,965
                                                                                                                km","1600cc"
